transaction_id,date,posting_time,day_of_week,department,vendor,category,amount,approval_limit,approver,invoice_number,flag_reason,leading_digit,root_cause_category
TXN-003038,2025-01-06,08:16,Monday,Procurement,Vendor_047,Supplies,36783.04,50000,Approver_10,INV-100079,Duplicate transaction,,Data Entry Error
TXN-001103,2025-01-08,15:05,Wednesday,IT,Vendor_057,Equipment,1849.57,40000,Approver_01,INV-100125,Duplicate transaction,,Data Entry Error
TXN-005685,2025-01-10,13:50,Friday,IT,Vendor_030,Utilities,272.24,40000,Approver_13,INV-100179,Duplicate transaction,,Data Entry Error
TXN-003432,2025-01-15,16:58,Wednesday,Finance,Vendor_038,Misc,-1953.08,60000,Approver_09,INV-100234,Duplicate transaction,,Data Entry Error
TXN-003178,2025-01-15,10:37,Wednesday,Procurement,Vendor_010,Utilities,563.86,50000,Approver_04,INV-100250,Duplicate transaction,,Data Entry Error
TXN-000470,2025-01-16,18:45,Thursday,Marketing,Vendor_029,Software,208.94,25000,Approver_01,INV-100276,Duplicate transaction,,Data Entry Error
TXN-001369,2025-01-22,11:09,Wednesday,Marketing,Vendor_010,Equipment,75.64,25000,Approver_11,INV-100354,Duplicate transaction,,Data Entry Error
TXN-004584,2025-01-22,10:33,Wednesday,Procurement,Vendor_051,Supplies,97.84,50000,Approver_12,INV-100368,Duplicate transaction,,Data Entry Error
TXN-000510,2025-02-03,12:44,Monday,Marketing,Vendor_042,Supplies,266.99,25000,Approver_11,INV-100554,Duplicate transaction,,Data Entry Error
TXN-001170,2025-02-24,11:13,Monday,Operations,Vendor_038,Utilities,15000.0,30000,Approver_06,INV-100867,Duplicate transaction,,Data Entry Error
TXN-004918,2025-02-24,16:37,Monday,Marketing,Vendor_030,Software,198.11,25000,Approver_15,INV-100870,Duplicate transaction,,Data Entry Error
TXN-002831,2025-02-27,12:49,Thursday,Sales,Vendor_001,Consulting,463.14,20000,Approver_14,INV-100931,Duplicate transaction,,Data Entry Error
TXN-003831,2025-02-27,15:11,Thursday,Finance,Vendor_039,Consulting,3209.75,60000,Approver_03,INV-100943,Duplicate transaction,,Data Entry Error
TXN-000014,2025-03-03,15:05,Monday,HR,Vendor_058,Misc,165.36,15000,Approver_14,INV-100984,Duplicate transaction,,Data Entry Error
TXN-003586,2025-03-12,11:27,Wednesday,Finance,Vendor_057,Utilities,3034.27,60000,Approver_12,INV-101132,Duplicate transaction,,Data Entry Error
TXN-001581,2025-03-18,13:34,Tuesday,Sales,Vendor_042,Misc,85433.6,20000,Approver_13,INV-101240,Duplicate transaction,,Data Entry Error
TXN-004048,2025-04-01,15:45,Tuesday,Operations,Vendor_058,Software,36.23,30000,Approver_11,INV-101483,Duplicate transaction,,Data Entry Error
TXN-004309,2025-04-15,10:18,Tuesday,HR,Vendor_034,Equipment,146.46,15000,Approver_14,INV-101729,Duplicate transaction,,Data Entry Error
TXN-001437,2025-04-15,11:59,Tuesday,Sales,Vendor_024,Misc,542.19,20000,Approver_05,INV-101745,Duplicate transaction,,Data Entry Error
TXN-005243,2025-04-16,12:57,Wednesday,Finance,Vendor_034,Equipment,9761.74,60000,Approver_06,INV-101766,Duplicate transaction,,Data Entry Error
TXN-001287,2025-04-30,12:40,Wednesday,Sales,Vendor_009,Misc,691.14,20000,Approver_05,INV-101988,Duplicate transaction,,Data Entry Error
TXN-001499,2025-05-01,15:04,Thursday,Finance,Vendor_051,Travel,6340.8,60000,Approver_13,INV-102031,Duplicate transaction,,Data Entry Error
TXN-005491,2025-05-12,11:34,Monday,Marketing,Vendor_039,Software,711.93,25000,Approver_05,INV-102185,Duplicate transaction,,Data Entry Error
TXN-004882,2025-05-19,14:09,Monday,Operations,Vendor_010,Utilities,10000.0,30000,Approver_15,INV-102304,Duplicate transaction,,Data Entry Error
TXN-003570,2025-05-19,15:20,Monday,Operations,Vendor_010,Travel,10000.0,30000,Approver_05,INV-102313,Duplicate transaction,,Data Entry Error
TXN-001481,2025-05-26,12:11,Monday,Marketing,Vendor_005,Misc,46.59,25000,Approver_14,INV-102427,Duplicate transaction,,Data Entry Error
TXN-004811,2025-05-30,10:38,Friday,Operations,Vendor_022,Misc,3092.57,30000,Approver_07,INV-102520,Duplicate transaction,,Data Entry Error
TXN-002280,2025-06-11,11:06,Wednesday,Operations,Vendor_058,Software,600.18,30000,Approver_02,INV-102687,Duplicate transaction,,Data Entry Error
TXN-002113,2025-06-12,12:06,Thursday,HR,Vendor_034,Consulting,5000.0,15000,Approver_01,INV-102711,Duplicate transaction,,Data Entry Error
TXN-002288,2025-06-26,16:00,Thursday,HR,Vendor_052,Equipment,72.88,15000,Approver_09,INV-102939,Duplicate transaction,,Data Entry Error
TXN-003093,2025-07-03,21:46,Thursday,HR,Vendor_015,Travel,492.17,15000,Approver_06,INV-103052,Duplicate transaction,,Data Entry Error
TXN-002114,2025-07-03,18:48,Thursday,HR,Vendor_040,Utilities,13858.12,15000,Approver_07,INV-103053,Duplicate transaction,,Data Entry Error
TXN-004762,2025-07-14,15:29,Monday,Procurement,Vendor_030,Travel,3584.52,50000,Approver_02,INV-103198,Duplicate transaction,,Data Entry Error
TXN-002525,2025-07-14,12:20,Monday,Finance,Vendor_016,Travel,14.02,60000,Approver_11,INV-103203,Duplicate transaction,,Data Entry Error
TXN-000396,2025-07-31,11:16,Thursday,IT,Vendor_046,Software,940.55,40000,Approver_15,INV-103508,Duplicate transaction,,Data Entry Error
TXN-001708,2025-08-01,14:37,Friday,Finance,Vendor_034,Supplies,27.61,60000,Approver_15,INV-103512,Duplicate transaction,,Data Entry Error
TXN-000059,2025-08-05,18:26,Tuesday,Sales,Vendor_006,Software,18254.32,20000,Approver_05,INV-103573,Duplicate transaction,,Data Entry Error
TXN-003522,2025-08-13,14:38,Wednesday,Operations,Vendor_028,Consulting,160.74,30000,Approver_06,INV-103721,Duplicate transaction,,Data Entry Error
TXN-000084,2025-08-13,12:01,Wednesday,Procurement,Vendor_003,Misc,806.25,50000,Approver_03,INV-103727,Duplicate transaction,,Data Entry Error
TXN-004194,2025-08-15,11:31,Friday,HR,Vendor_023,Misc,9066.64,15000,Approver_12,INV-103771,Duplicate transaction,,Data Entry Error
TXN-001598,2025-08-22,15:48,Friday,IT,Vendor_002,Consulting,12.38,40000,Approver_01,INV-103875,Duplicate transaction,,Data Entry Error
TXN-003915,2025-08-22,15:41,Friday,Sales,Vendor_022,Misc,824.23,20000,Approver_07,INV-103880,Duplicate transaction,,Data Entry Error
TXN-000846,2025-08-22,16:59,Friday,Procurement,Vendor_003,Supplies,320.49,50000,Approver_08,INV-103886,Duplicate transaction,,Data Entry Error
TXN-003169,2025-08-27,10:47,Wednesday,IT,Vendor_052,Travel,300.17,40000,Approver_05,INV-103953,Duplicate transaction,,Data Entry Error
TXN-001122,2025-09-12,12:25,Friday,Sales,Vendor_012,Equipment,475.47,20000,Approver_13,INV-104230,Duplicate transaction,,Data Entry Error
TXN-000416,2025-09-25,12:39,Thursday,Finance,Vendor_032,Supplies,11.36,60000,Approver_15,INV-104442,Duplicate transaction,,Data Entry Error
TXN-003258,2025-09-30,11:23,Tuesday,Sales,Vendor_048,Supplies,77.45,20000,Approver_10,INV-104524,Duplicate transaction,,Data Entry Error
TXN-002604,2025-10-07,16:28,Tuesday,Sales,Vendor_051,Misc,29.47,20000,Approver_09,INV-104617,Duplicate transaction,,Data Entry Error
TXN-002295,2025-10-14,17:22,Tuesday,Sales,Vendor_042,Software,150.89,20000,Approver_03,INV-104735,Duplicate transaction,,Data Entry Error
TXN-002396,2025-10-24,12:16,Friday,Procurement,Vendor_042,Software,21298.27,50000,Approver_01,INV-104906,Duplicate transaction,,Data Entry Error
TXN-004629,2025-10-27,11:15,Monday,IT,Vendor_048,Equipment,1631.66,40000,Approver_09,INV-104916,Duplicate transaction,,Data Entry Error
TXN-003697,2025-11-27,09:47,Thursday,Finance,Vendor_001,Software,1102.99,60000,,INV-105461,Duplicate transaction,,Data Entry Error
TXN-004889,2025-11-28,16:55,Friday,IT,Vendor_028,Equipment,34.66,40000,Approver_14,INV-105477,Duplicate transaction,,Data Entry Error
TXN-001463,2025-12-09,12:02,Tuesday,Sales,Vendor_014,Software,76451.58,20000,Approver_09,INV-105645,Duplicate transaction,,Data Entry Error
TXN-001056,2025-12-12,09:57,Friday,Sales,Vendor_027,Misc,385.39,20000,Approver_10,INV-105718,Duplicate transaction,,Data Entry Error
TXN-004909,2025-12-17,11:40,Wednesday,Finance,Vendor_015,Travel,969.89,60000,Approver_01,INV-105789,Duplicate transaction,,Data Entry Error
TXN-005773,2025-12-17,09:57,Wednesday,IT,Vendor_021,Equipment,6854.91,40000,Approver_07,INV-105798,Duplicate transaction,,Data Entry Error
TXN-005375,2025-12-22,09:10,Monday,Operations,Vendor_020,Utilities,32959.68,30000,Approver_07,INV-105839,Duplicate transaction,,Data Entry Error
TXN-002690,2025-12-22,15:07,Monday,Sales,Vendor_013,Misc,24.88,20000,Approver_10,INV-105845,Duplicate transaction,,Data Entry Error
TXN-000890,2025-12-25,15:08,Thursday,Operations,Vendor_055,Misc,260.28,30000,Approver_01,INV-105908,Duplicate transaction,,Data Entry Error
TXN-002754,2025-12-27,13:53,Saturday,Finance,Vendor_042,Supplies,81469.27,60000,Approver_08,INV-105962,Duplicate transaction,,Data Entry Error
TXN-001791,2025-12-30,14:47,Tuesday,Marketing,Vendor_042,Utilities,15.22,25000,Approver_02,INV-105988,Duplicate transaction,,Data Entry Error
TXN-004048-D,2025-04-01,15:45,Tuesday,Operations,Vendor_058,Software,36.23,30000,Approver_11,INV-101483,Duplicate transaction,,Data Entry Error
TXN-005491-D,2025-05-12,11:34,Monday,Marketing,Vendor_039,Software,711.93,25000,Approver_05,INV-102185,Duplicate transaction,,Data Entry Error
TXN-004811-D,2025-05-30,10:38,Friday,Operations,Vendor_022,Misc,3092.57,30000,Approver_07,INV-102520,Duplicate transaction,,Data Entry Error
