transaction_id,date,posting_time,day_of_week,department,vendor,category,amount,approval_limit,approver,invoice_number
TXN-000160,2025-01-01,10:05,Wednesday,Marketing,Vendor_053,Supplies,-2944.12,25000,Approver_12,INV-100000
TXN-000287,2025-01-01,09:12,Wednesday,HR,Vendor_035,Supplies,5873.85,15000,Approver_15,INV-100001
TXN-004563,2025-01-01,18:51,Wednesday,Procurement,Vendor_043,Equipment,3782.83,50000,Approver_09,INV-100002
TXN-002558,2025-01-01,16:09,Wednesday,Marketing,Vendor_027,Misc,5595.42,25000,Approver_07,INV-100003
TXN-003074,2025-01-01,16:08,Wednesday,Marketing,Vendor_038,Travel,15000.0,25000,Approver_14,INV-100004
TXN-003356,2025-01-01,11:11,Wednesday,HR,Vendor_056,Misc,286.76,15000,Approver_09,INV-100005
TXN-004193,2025-01-01,10:45,Wednesday,Sales,Vendor_057,Software,11684.28,20000,Approver_13,INV-100006
TXN-004157,2025-01-01,12:00,Wednesday,HR,Vendor_005,Utilities,51135.37,15000,Approver_01,INV-100007
TXN-005475,2025-01-01,13:04,Wednesday,Marketing,Vendor_024,Misc,41.03,25000,Approver_04,INV-100008
TXN-002983,2025-01-01,11:46,Wednesday,Marketing,Vendor_021,Supplies,31366.13,25000,Approver_02,INV-100009
TXN-000883,2025-01-01,10:21,Wednesday,Sales,Vendor_013,Consulting,2415.85,20000,Approver_14,INV-100010
TXN-004418,2025-01-01,13:22,Wednesday,HR,Vendor_043,Utilities,1423.16,15000,Approver_12,INV-100011
TXN-004334,2025-01-01,15:14,Wednesday,Procurement,Vendor_004,Software,3257.88,50000,Approver_11,INV-100012
TXN-001379,2025-01-01,14:37,Wednesday,Marketing,Vendor_017,Misc,11.84,25000,Approver_14,INV-100013
TXN-003632,2025-01-01,11:46,Wednesday,HR,Vendor_045,Consulting,14725.72,15000,Approver_08,INV-100014
TXN-003288,2025-01-01,15:06,Wednesday,HR,Vendor_040,Software,644.49,15000,Approver_11,INV-100015
TXN-000854,2025-01-01,12:40,Wednesday,HR,Vendor_054,Equipment,5307.78,15000,Approver_02,INV-100016
TXN-000061,2025-01-01,18:12,Wednesday,Finance,Vendor_008,Misc,75.55,60000,Approver_02,INV-100017
TXN-001694,2025-01-01,16:26,Wednesday,Finance,Vendor_028,Utilities,110.76,60000,Approver_02,INV-100018
TXN-001534,2025-01-02,08:33,Thursday,Finance,Vendor_030,Misc,59180.67,60000,Approver_03,INV-100019
TXN-002321,2025-01-02,15:40,Thursday,Operations,Vendor_047,Utilities,954.75,30000,Approver_03,INV-100020
TXN-004868,2025-01-02,18:42,Thursday,Sales,Vendor_035,Travel,8774.1,20000,Approver_15,INV-100021
TXN-002602,2025-01-02,16:39,Thursday,Marketing,Vendor_036,Software,1000.0,25000,Approver_15,INV-100022
TXN-003929,2025-01-02,17:23,Thursday,Sales,Vendor_021,Travel,382.35,20000,Approver_01,INV-100023
TXN-001027,2025-01-02,17:44,Thursday,Finance,Vendor_012,Misc,1669.74,60000,Approver_07,INV-100024
TXN-005681,2025-01-02,15:49,Thursday,Operations,Vendor_030,Misc,12.69,30000,Approver_10,INV-100025
TXN-004983,2025-01-02,17:09,Thursday,Finance,Vendor_010,Software,546.63,60000,Approver_01,INV-100026
TXN-005387,2025-01-02,10:53,Thursday,Marketing,Vendor_047,Software,23466.79,25000,Approver_04,INV-100027
TXN-000829,2025-01-02,14:07,Thursday,HR,Vendor_030,Software,40.2,15000,Approver_07,INV-100028
TXN-003466,2025-01-02,16:44,Thursday,HR,Vendor_048,Supplies,510.95,15000,Approver_07,INV-100029
TXN-004736,2025-01-02,10:29,Thursday,Operations,Vendor_032,Software,256.15,30000,Approver_13,INV-100030
TXN-003471,2025-01-02,12:58,Thursday,IT,Vendor_057,Supplies,4009.3,40000,Approver_01,INV-100031
